c,Empirical,Normal,Student-t,NUVM
2,0.03946297803091944,0.0455002638963584,0.04233402470155058,0.05676826834145747
3,0.011798209926769731,0.002699796063260186,0.01267390686575304,0.008017341613518443
4,0.006102522375915379,6.334248366623973e-05,0.004987248870905764,0.0007640719079554666
