bootstrap,success,mu,sigma,a
1,True,0.053621357578771865,0.9681486594958196,0.999
2,True,0.013369370382077587,1.3547430039427202,0.7260507325033941
3,True,0.012764337129086548,1.2555038130581095,0.999
4,True,0.07716694293458394,0.970911499857451,0.9941917366532994
5,True,0.06997573568912177,1.0152257932296176,0.9984435288245163
6,True,0.0623445032945557,1.0328986719585243,0.999
7,True,0.10815743228287042,0.9414645852760538,0.9853777327731154
8,True,0.06544855234812655,0.9919212700286796,0.999
9,True,0.03629231909890632,1.0550804626201518,0.999
10,True,0.06264747224386588,0.9898137331393791,0.9883215211156826
11,True,0.04501431768805575,0.932958122071187,0.999
12,True,0.08296921034251879,1.4276980503834231,0.5541459553841002
13,True,0.038024852596062406,1.0073237170187197,0.999
14,True,-0.04437447477438435,1.2955608320773346,0.7708542487729079
15,True,0.11800385526514846,1.294247628696624,0.8267960061928484
16,True,0.30026795196062006,1.330630708432297,0.8411922249933839
17,True,-0.11283292122150969,1.2282297328998737,0.9512087827963832
18,True,0.04459258561123822,1.5615253988133146,0.2420444544971144
19,True,-0.014477334195380012,1.2469084555043075,0.999
20,True,-0.10427111479484764,1.3098895120954075,0.7281798558954735
21,True,-0.03902151819496495,1.2198543327561213,0.999
22,True,0.08393890749632238,1.298763254981829,0.999
23,True,0.029892306437238284,1.2437303878225572,0.999
24,True,0.016289991738690234,1.261603828820127,0.9807031215852485
25,True,0.004845985924681185,1.0249963482143551,0.999
26,True,0.09633121051140148,1.4392178915339975,0.49273304919798305
27,True,0.010580989149430701,1.2241523882255443,0.999
28,True,0.09791020871304579,1.2763692033771794,0.8474363040816124
29,True,0.18450108576002644,1.5024104989594145,0.421160262489774
30,True,0.05272546856803745,0.9696315285479197,0.999
31,True,-0.04431411433762403,1.2430430299991333,0.999
32,True,-0.11066448568182556,1.3350822084153409,0.6956762311705152
33,True,0.2287113429559427,1.2632724797590789,0.920801784026758
34,True,0.05228290512986077,1.2439241206279947,0.999
35,True,-0.08485314541197418,1.399361218305635,0.553585464907693
36,True,-0.26246022580669365,1.8811075599330922,0.3521354257357905
37,True,-0.12430075853674705,1.2577483099404432,0.8576501747526739
38,True,0.2055464057373029,1.2650926576994823,0.999
39,True,0.06359202646297052,0.9632147123257605,0.9988965555897417
40,True,0.047803890086447205,1.2997627757531176,0.894849853179032
41,True,0.1941882069106479,1.3375410541809254,0.8092961788317377
42,True,-0.412889330026077,1.2143816781099497,0.9939060365474661
43,True,0.10576965312248512,1.248621287089486,0.999
44,True,0.04058388007520815,1.2428977666118775,0.999
45,True,0.018779086453774844,1.0173464486985078,0.999
46,True,-0.14501907595344243,1.2457361837628607,0.9958744065765883
47,True,0.03903763195680203,0.9942259265928327,0.9500000004374625
48,True,0.05324804612838523,1.4928029972601617,0.40810497856427563
49,True,0.18797683641904647,1.627778318812713,0.18982513725409983
50,True,0.06380061955681098,0.9914774989695262,0.9954209844345558
51,True,0.2026039468262103,1.2551540837367496,0.999
52,True,-0.3022279419111448,1.2380984803408095,0.8898243189839972
53,True,0.05164200042752136,0.9699773005361191,0.999
54,True,0.08911649615420167,1.0149089831215867,0.9949557658403672
55,True,0.05727083322065115,1.2694742824383818,0.9703124612280024
56,True,0.05931525567817317,1.00785303952088,0.9984710463133508
57,True,0.03058559274997567,1.2345108093899508,0.9832895762433472
58,True,0.044023117932357754,1.0211178478959744,0.9483618224593447
59,True,0.38451079981244995,1.3718884410256693,0.7308146548537165
60,True,0.04760371625457963,1.264770518462658,0.999
61,True,-0.035399696526698436,1.5818632210047845,0.2557218357233427
62,True,0.04681537786471807,1.0075039800178385,0.9962644572915642
63,True,0.287320435112149,1.3640322944878043,0.735534483780944
64,True,0.061906072270924824,0.952333557096714,0.999
65,True,0.06832472977008067,0.9626029899077065,0.9989999999999998
66,True,0.15205401272516036,1.2703917637639688,0.93757868619293
67,True,0.35685121245164936,1.2874867214694492,0.9409650143784193
68,True,0.05515045584720246,1.26429296159684,0.9414121809872791
69,True,0.08340635289734913,1.259903523134022,0.999
70,True,0.10801099183569163,0.9776610378798852,0.9934197507105276
71,True,0.09036012474102227,0.9440622483874584,0.995617063979303
72,True,0.061538353583144294,0.9686144169024328,0.999
73,True,-0.014172809179865157,1.4161443056046776,0.5884206373747116
74,True,0.11961548466950078,1.27185617003066,0.999
75,True,0.0888998632322063,0.9641194480012689,0.996245526627398
76,True,0.05870037162285574,0.9474277726843296,0.996665204856203
77,True,0.03051413504859396,1.2552102733880433,0.999
78,True,0.1418151633915974,1.2686896026140893,0.999
79,True,-0.14404752796870013,1.2819188246694169,0.8777937675339919
80,True,0.14872007725133812,1.2908643782287772,0.8191125695520027
81,True,0.09621475604369567,1.2671543908014986,0.9797371631780365
82,True,0.039675572947654766,0.990200522340976,0.9986385021924014
83,True,0.09297571408007542,1.3926251853603793,0.6040633037913362
84,True,0.3637516697720252,1.6850643641641376,0.8540579073988341
85,True,0.0677582215070803,0.9939428620966173,0.999
86,True,0.05896919403889485,0.9799757548819723,0.9972155193120145
87,True,-0.009587971058583255,1.276587062015595,0.9186182634526885
88,True,0.046230704829308994,0.9633024703425185,0.9965979536137051
89,True,0.07521460240587155,1.2798664428720505,0.9137254847435023
90,True,0.06599092337008519,1.006156863224021,0.999
91,True,0.11580209450647021,1.459210881127576,0.5250892300414809
92,True,0.5043851951690707,1.3467561427680372,0.7969694561082762
93,True,0.018677404069421474,1.2751940916516045,0.9202930883011265
94,True,0.10388084927271685,1.421891616804337,0.5763841912539549
95,True,0.15955514019088,1.365193113041519,0.7056041013426919
96,True,0.2098612516431212,1.2938702821014594,0.9428189462588873
97,True,0.08077312350970092,0.962197150276266,0.9921972787002984
98,True,0.04219690797967444,0.9691740780296073,0.9987181736492924
99,True,0.024482913715768773,1.4707277174564513,0.4694163341099043
100,True,0.1941659509487816,1.2353358801521372,0.999
101,True,0.07228359602012087,0.9575437159642877,0.9989999990645608
102,True,-0.0318471205437165,1.2570065967840376,0.999
103,True,-0.007925748742377592,1.2404067981967097,0.999
104,True,-0.012487648493224746,1.437573324542847,0.48307520422307043
105,True,0.06834554139327303,0.9666503955090421,0.9855087911454408
106,True,-0.22770343444049465,1.2798071620043237,0.8709564866667016
107,True,0.009509778398704802,1.24902774345388,0.999
108,True,0.27433094096639854,1.2756846908404598,0.9478343900685563
109,True,0.11636832890382104,1.258468033071325,0.999
110,True,0.004159788871863709,1.350913767835786,0.6500501400323057
111,True,0.1987607629278399,1.2617396765171423,0.999
112,True,-0.21074376079218626,1.7831624414031184,0.47567515059239396
113,True,0.4998442255604281,1.3140941865571196,0.9989721884649252
114,True,0.009494483515891943,0.9227215410707956,0.999
115,True,0.07136111247795969,1.0391617752276485,0.999
116,True,0.07801581392507356,1.0103495233658244,0.9606548153835222
117,True,0.0688332894595618,0.9390463060810039,0.999
118,True,0.19505182344740882,1.2761678809187373,0.9615790937633344
119,True,0.16044474549502263,1.2597843506183173,0.999
120,True,0.11929854185568672,1.069180555734071,0.9960045900735837
121,True,0.10158049250878393,1.0295849779790214,0.9989999825204433
122,True,-0.05502085441586792,1.4019010806841143,0.5452875524941805
123,True,-0.11210746507967824,1.2275796011637605,0.999
124,True,0.08552368468014357,0.9710580019210853,0.9851638690573029
125,True,0.07209460169470111,1.0141806421754642,0.9629967795474353
126,True,0.03961473852605701,1.3059530753297388,0.8103766950254364
127,True,0.21569045574111992,1.2632499723598083,0.9989395792715173
128,True,-0.06026127170134202,1.3496797484565326,0.6659385073813631
129,True,0.0608884628985036,1.0354272442870758,0.9954242635106808
130,True,0.028527732545677965,1.22570671069722,0.999
131,True,0.11648723354470705,1.2800786839733571,0.8415483176948232
132,True,0.07690355879237121,0.9520614175044123,0.9968507619153604
133,True,0.0812276204564477,0.9466219991911609,0.997888392974933
134,True,0.08273208739947033,0.971111880226442,0.9919973231275735
135,True,0.0052322045158947235,1.2812666265052235,0.8716910461564459
136,True,0.016772989626135226,0.9324831510245559,0.999
137,True,0.24092131592164134,1.3993968760576954,0.6613677053324138
138,True,0.0363572024478178,1.2513996407576353,0.999
139,True,0.0284159224492746,1.255979460868392,0.999
140,True,0.04212232602372656,0.9181159510209972,0.9699445007168238
141,True,0.18902575606075178,1.2559207866216417,0.999
142,True,0.0008976685876917305,1.2751404944345064,0.999
143,True,0.07229939649309704,1.2477864066076063,0.9979398335643132
144,True,0.03776271355723027,1.5953625035845713,0.18882692871781645
145,True,0.067428310348101,1.2803377714130786,0.9620928578180652
146,True,0.296294587896555,1.2753368982409703,0.9833309024911031
147,True,0.017308623302525774,1.248340496341872,0.9689381757017587
148,True,-0.03952027756050014,1.2339396652603645,0.999
149,True,0.05947959995725164,0.9400021103098817,0.9814812587008518
150,True,0.011100996246541286,1.2955629633297874,0.8819850278693488
151,True,0.15367311738235095,1.2875373245264912,0.8297957901043702
152,True,0.36568571600096367,1.6392215995861465,0.2513033946856104
153,True,0.06544586137621496,0.9388888602071662,0.9802115570504966
154,True,0.05458132577235412,0.9105865415668881,0.9940314795868901
155,True,0.06349546874208115,0.9502016690215752,0.9907576602219241
156,True,-0.08583774090994088,1.2683185692346073,0.9463243123394013
157,True,0.07242160898160582,0.9693797919185864,0.9989999940073038
158,True,-0.09511807737308525,1.4796655650105477,0.3375793878488262
159,True,0.07355953851091038,0.955836414666015,0.9880287619780682
160,True,-0.03261297926737383,1.277912583707144,0.9018460487964909
161,True,0.035230719286790405,1.3801517418957674,0.6364636526643339
162,True,0.06071237280905736,0.9764230415410828,0.999
163,True,0.11328682054111722,1.2411183040019775,0.9852293096237833
164,True,0.05031839567545217,1.004238213843257,0.95
165,True,0.049244398734888596,0.9498804441356862,0.999
166,True,0.06292029968710905,1.0017663380363,0.95
167,True,0.0017159034469039773,1.2187256227002152,0.999
168,True,0.0605201367943081,0.9321730603245368,0.9985130799255476
169,True,0.029170059330596975,1.0009990073596609,0.9510028023215545
170,True,0.003605458965322967,1.41110199653639,0.5617705946383482
171,True,0.06501040034647779,1.2430973891274577,0.999
172,True,0.16901276001437143,1.2755982051970038,0.999
173,True,0.23521711538376439,1.2607732307277901,0.9902374944749186
174,True,0.15434941873151176,1.470663641153405,0.5134472211937231
175,True,0.06614864148539015,1.0630510818378465,0.999
176,True,0.0723684996473451,1.017084481440015,0.9973817055740041
177,True,0.0275434832303713,0.9540423595322685,0.999
178,True,0.2182251556872997,1.5791088790905055,0.2946917697827836
179,True,-0.05187087922704618,1.439816154307883,0.5016308674555098
180,True,0.13040514465921596,1.2848873387192967,0.8313655837003341
181,True,-0.15395681703839154,1.2273067953619694,0.9941823057231015
182,True,0.19257424634182468,1.2542717670714256,0.999
183,True,0.04320995411037719,0.9962378191764878,0.9591401907381057
184,True,0.20107307421124931,1.28519004947849,0.89229757373997
185,True,0.04329768971412652,1.0173716057341893,0.999
186,True,0.044253044792590714,1.2508592367646645,0.999
187,True,-0.18967110498579068,1.601430302376557,0.13520121256783046
188,True,0.09220566467466251,0.9881707186715215,0.9939490017752479
189,True,0.058543039997613074,0.9690423784564652,0.999
190,True,0.0629079989152186,1.259955160993953,0.999
191,True,0.06960643690797798,0.9653447482846137,0.999
192,True,0.03372548873550199,0.9650047324976685,0.999
193,True,0.06152239842130209,0.9433491145794575,0.998817146120592
194,True,0.0798139347662734,0.9595517663863226,0.9970630042260296
195,True,0.2290015209713556,1.2806844813141642,0.995450251496323
196,True,-0.007667158331690321,1.4733859952381134,0.5312377698101417
197,True,0.03740370848197613,1.0100295552507754,0.9913274459934361
198,True,-0.09173125485477163,1.2423387289426562,0.999
199,True,0.15171359068823978,1.3571994165088583,0.7392444271443149
200,True,0.02230407445433234,1.314683167366855,0.8109710348085146
201,True,0.08252466966615223,0.9860797795131935,0.998664865385385
202,True,0.09273699701614826,1.34646352271758,0.7333711265251798
203,True,0.0761955485905937,1.022713282583799,0.9686094596453438
204,True,0.08589654971178616,1.2951556932908947,0.8716204156420694
205,True,0.06721914899092558,0.9746914511526494,0.998971958396803
206,True,0.039467275857338266,0.9886760953708733,0.9389497406623816
207,True,-0.1520264681400246,1.2416083455295908,0.9103990233757813
208,True,0.049639939497630785,0.9229664725270791,0.9949696576008304
209,True,-0.08859985478819925,1.2482089513588697,0.999
210,True,0.02824796526344502,1.0444076804087696,0.9866139022025383
211,True,-0.0915318394952799,1.2158793719322565,0.9971418347494678
212,True,-0.06959275030124172,1.2332311347009042,0.999
213,True,0.3838288610620705,1.3621529953584979,0.7597323350088092
214,True,0.22700567657306422,1.3243054008382251,0.8367528839675215
215,True,0.022356717207717924,1.3200816184943824,0.7218900205342157
216,True,0.06526095944116704,0.9820287436546005,0.9777963953752838
217,True,0.3132597086946515,1.4515702516491835,0.5697438624220474
218,True,0.07853328718207653,0.9245827727812727,0.9940664575110024
219,True,0.12723660526548863,1.2781875684125674,0.9542002579748357
220,True,0.06093015898407271,1.2285139010384192,0.999
221,True,0.011046377549050879,1.2553513105700425,0.999
222,True,0.1028101781923535,1.254703127281862,0.999
223,True,0.08306827710993905,0.9841530983337213,0.9945568305121953
224,True,0.05538055222652784,0.9899577486377362,0.9856648411741179
225,True,0.061781642273612124,0.9796448854547183,0.9973329995387605
226,True,0.06679554489990915,1.2515279333053038,0.999
227,True,-0.24926223601534164,1.3831498610210797,0.5709781266327465
228,True,0.039389080184773356,0.9848670390276676,0.999
229,True,0.06953050766082705,1.2899910843580642,0.999
230,True,-0.04081167238379743,1.2318926576293414,0.9983511081860003
231,True,-0.38450151269243454,1.3208475251579381,0.7107140972198628
232,True,0.09948984921282657,0.9689359457903587,0.989274048279497
233,True,0.0707796766138138,1.3461824969255594,0.7161769087618495
234,True,0.012288538044740751,1.310278755260608,0.8386211205938834
235,True,0.06435673385192082,1.0146584723527583,0.999
236,True,0.13030373323057087,1.5202679087719082,0.3697660499875216
237,True,0.0438571647892303,0.9957941276838316,0.9989999917540915
238,True,0.08609035860375941,0.9477885148747197,0.9972541184065463
239,True,0.22550608993652893,1.7171157765911607,0.28670901955334877
240,True,0.12741776283074221,1.258203284088443,0.999
241,True,0.04767443694390489,0.9691113675166664,0.9983209025762342
242,True,0.09043306192678592,0.9682130486812408,0.9934904587304204
243,True,0.071674476554676,0.9696470707997649,0.9958791680452108
244,True,0.07087018981838776,0.971149119984516,0.9931673270110911
245,True,0.10585408175925981,1.009860016058365,0.9962426728025677
246,True,0.003072513919155246,1.523299725018486,0.999
247,True,0.6405139084541203,1.467019773967654,0.5427245619656105
248,True,0.06872584882155251,1.0258285365005977,0.9964612461057744
249,True,0.1163245223896623,1.2495428009729075,0.999
250,True,0.06104871416606572,1.0104616694331314,0.9966299743817403
251,True,0.023219803211344984,1.064889388537609,0.999
252,True,0.0867979831235725,1.3810690325861992,0.6496886250770046
253,True,-0.05687016944899142,1.2861465611114236,0.841222013046458
254,True,0.07454762089454278,0.9827001283917781,0.9813968379458783
255,True,0.04714643221783204,1.0473224898264757,0.9500000000009875
256,True,0.05126618821772912,1.3964999065273118,0.622171309270545
257,True,-0.04436251842541121,1.4069772903802242,0.566309709561207
258,True,0.009270651338576578,1.2731741102635108,0.8590498537194945
259,True,0.035757732169136115,1.025704370648876,0.949999999939035
260,True,0.04779953762353158,1.261923634891036,0.999
261,True,0.07950853852597055,0.9535528383377165,0.9989999989421647
262,True,0.242084403502222,1.2732753963745533,0.999
263,True,0.022158255496962525,1.3712828565901232,0.6846721286750443
264,True,0.15639998353008247,1.2653589444486042,0.999
265,True,-0.16817106564880702,1.236609359649724,0.999
266,True,-0.10124253065622028,1.2404002345683924,0.999
267,True,-0.01022354145006743,1.2558191524657558,0.9055187439043009
268,True,0.05962781504068522,0.9614688221164303,0.9941213277089217
269,True,-0.1340695671529011,1.3373903407915066,0.7253086921096117
270,True,0.10903276839808418,1.2306735633593646,0.9902868761945697
271,True,0.0679489699946017,0.9198330113302613,0.9854635180564872
272,True,0.2527134819036905,1.6988834133866693,0.9349516191050377
273,True,0.08171648975235409,0.9432366436781794,0.9893404742814329
274,True,-0.2981710521722737,1.2351949161852027,0.999
275,True,0.049420705817270705,1.2395853609249414,0.999
276,True,0.06248443828912399,0.9980382236825212,0.9989999227697431
277,True,0.04260702411796443,0.9781674970756911,0.997876478579545
278,True,0.09323643113292894,0.9958428211713815,0.999
279,True,0.040346981791115406,1.0622127660287028,0.9989999919181438
280,True,0.30686265750686936,1.268524342700372,0.9711353483336235
281,True,-0.08620353376009414,1.2195013240995278,0.999
282,True,0.3353783370715691,1.3817895511213067,0.6418612590083784
283,True,0.17890452322170214,1.3833377602919434,0.6964215598838116
284,True,0.06810411216988085,0.9938196915377439,0.9908032464563239
285,True,0.07864996695778977,0.9662953869795129,0.971013091441058
286,True,0.08954358485731398,0.9628810752277799,0.9884409813067274
287,True,0.05522399497608186,0.9730620552156298,0.9886273338759554
288,True,0.05474897550547427,0.977623191863619,0.9989500201366002
289,True,-0.2543897165712953,1.2100178984020713,0.9699457891727463
290,True,0.07859191973143467,0.9638082407502705,0.999
291,True,0.04299494098780817,1.3832219133685175,0.6145368862077492
292,True,0.07798449695412439,1.0285905813259162,0.9943688682643294
293,True,0.06371603939619873,1.0251568004190743,0.999
294,True,0.1228490260850594,0.9761469938652252,0.999
295,True,-0.051689432728375444,1.6880732430846028,0.12664320933732037
296,True,-0.0461072199505765,1.2333624853664,0.999
297,True,0.040749118155148874,1.2505487997905422,0.999
298,True,0.089042869646181,1.4312175980030695,0.5611801290354835
299,True,0.07620236888124,0.9696116536636105,0.9970813555278288
300,True,0.2918702037867874,1.2706101472121794,0.9154341033416639
301,True,0.06656200840667273,1.6283353143867754,0.9579768827227267
302,True,0.07803838393874295,1.6153550679951416,0.18190135424412857
303,True,0.24253209354092978,1.2759419310411602,0.9451776022068479
304,True,0.061555943577344736,1.2579618284001082,0.999
305,True,0.11411976155393265,1.3247034504072666,0.8239742688209685
306,True,0.05701084796985967,0.9864586049307226,0.9939729550438254
307,True,0.03340181269915852,0.9738740486600569,0.999
308,True,0.055562123961094945,0.9955689438438593,0.9989879809366798
309,True,0.05800348075950792,0.9442383460485786,0.999
310,True,0.04666750352557634,1.4454235515758018,0.5109350111821996
311,True,-0.1851511024032813,1.5298834725143309,0.9479470524643759
312,True,0.005610230592898957,1.0102602166986667,0.9534789257399815
313,True,0.04530220264801395,1.018237172879387,0.95
314,True,0.07086179162118286,0.9352505510898496,0.9972126729447411
315,True,0.05500881583774857,1.3734963633877169,0.6726270095081622
316,True,0.08656006373002345,0.9228008652132506,0.9923573054489891
317,True,0.05088372165319325,1.0650845808858662,0.95
318,True,0.07415054782009155,0.9407704174943867,0.9959003165097754
319,True,0.06822785730717108,1.0422982725728245,0.9938509999641972
320,True,0.08652016623436842,1.2532667586996553,0.999
321,True,-0.11508166632681448,1.2169916400760092,0.999
322,True,-0.08256771879235456,1.247909748274558,0.999
323,True,0.056937577540957136,1.2286523811018102,0.9974316876325269
