n,replications,successful,a_mean,a_bias,a_mse,a_rmse,m_mean,m_bias,m_mse,m_rmse,b_mean,b_bias,b_mse,b_rmse
30,1000,1000,0.7251294835858171,0.22512948358581714,0.3462146810901116,0.5884001028977744,0.9460311230486519,-0.05396887695134807,0.3456253547955596,0.5878991025640026,1.8621838538391482,-0.13781614616085175,1.1916228555796229,1.0916147926716744
50,1000,1000,0.7033696506267564,0.20336965062675647,0.30041266665056976,0.5480991394360785,0.9781668140746688,-0.021833185925331258,0.29503157106136907,0.5431680873002105,1.8092091181997645,-0.1907908818002354,0.9741325416042675,0.9869815305284428
100,1000,1000,0.6756187624322895,0.17561876243228958,0.26004108866707076,0.5099422405205032,1.0452813479773295,0.04528134797732948,0.2500309840318434,0.5000309830718926,1.7965853975150659,-0.20341460248493418,0.6583881394611083,0.8114112024498481
200,1000,1000,0.6358672665335421,0.1358672665335422,0.21979961611764862,0.46882791738296536,1.0847020002437675,0.08470200024376774,0.20317636999240204,0.45075089572002186,1.7884204791435545,-0.21157952085644538,0.46926009500038013,0.685025616309624
500,1000,1000,0.5765406008305637,0.07654060083056367,0.15061484733349267,0.38809128737127385,1.090839236214106,0.09083923621410596,0.17963101957216407,0.4238289980312391,1.8282765826318588,-0.17172341736814134,0.3008883707942645,0.5485329258980399
