Model,k,LogLik,AIC,BIC
Normal,2,-3617.574670222195,7239.14934044439,7250.763547024642
Student-t,3,-3268.376090525189,6542.752181050378,6560.173490920755
NUVM,3,-3475.8234965088714,6957.646993017743,6975.06830288812
