Model,KS,AD,CvM
Normal,0.07935806822038696,35.78721331378256,5.851719057327176
Student-t,0.015668667550350235,1.0912924083500002,0.1009011972789501
NUVM,0.09511227625852747,45.551137570581886,6.503296844370597
