parameter,bootstrap_successes,B,mean,std_error,ci_lower,ci_upper
mu,1000,1000,0.060261067987692346,0.12665615958924376,-0.22778460180242813,0.3570237238846586
sigma,1000,1000,1.177822914457913,0.191602402329333,0.9339234751109078,1.615385013285211
a,1000,1000,0.9046497270324972,0.17753649163544394,0.3371349061963882,0.999
