n,Bias(mu),RMSE(mu),Bias(sigma),RMSE(sigma),Bias(a),RMSE(a),Convergence Rate,Successful Fits
50,0.0051162997617078855,0.14346973787643466,-0.019683269152598437,0.10614029536281287,-0.12476072229462276,0.4431069679102142,1.0,1000
100,-0.00074451364694966,0.09997175228859133,-0.0084542572087688,0.07472526199166594,-0.09158723382817152,0.40547558152083374,1.0,1000
250,-0.0008837374821217538,0.06210372836674311,-0.003935917009558532,0.04870688921880313,-0.07934369963978832,0.33867984015358693,1.0,1000
500,-7.311736079692288e-05,0.04474970436350388,-0.0013235935251779685,0.03207830281942193,-0.07460642365731107,0.2917503551231816,1.0,1000
1000,-0.0006629641473851046,0.030913981407002307,-0.0009428898336698577,0.023403580544027212,-0.043027338354158284,0.21507657736416322,1.0,1000
