n,true_a,true_m,true_b,a_hat,m_hat,b_hat,bias_a,bias_m,bias_b,m_minus_a,b_minus_m,loglik_hat,loglik_true,loglik_gain,success,message
1000,0.5,1.0,2.0,0.08017191300090587,0.886099861852144,2.7322060253359757,-0.41982808699909413,-0.11390013814785604,0.7322060253359757,0.8059279488512381,1.8461061634838316,-1517.8800512096277,-1520.6041206496325,2.7240694400047687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2000,0.5,1.0,2.0,0.5626495401120472,1.3835062305560464,1.4237275615742355,0.06264954011204715,0.3835062305560464,-0.5762724384257645,0.8208566904439992,0.040221331018189144,-2953.6882154728883,-2954.750466032583,1.062250559694803,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5000,0.5,1.0,2.0,0.6606950104362428,0.6772477855829677,2.3011266100924517,0.1606950104362428,-0.3227522144170323,0.3011266100924517,0.01655277514672493,1.623878824509484,-7569.660850090337,-7571.91006260446,2.2492125141234283,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
