n,true_a,true_m,true_b,a_hat,m_hat,b_hat,m_minus_a,b_minus_m,bias_a,bias_m,bias_b,loglik_hat,loglik_true,loglik_gain,nll,near_degenerate,success,message
100,0.5,1.0,2.0,1.144512534615611,1.1634556158018619,1.1721065267004331,0.018943081186250765,0.008650910898571285,0.6445125346156111,0.16345561580186185,-0.8278934732995669,-149.3470789661315,-149.46785917202462,0.12078020589311222,149.3470789661315,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
200,0.5,1.0,2.0,1.065958038635882,1.1050187119304695,1.1105412218358277,0.03906067329458751,0.005522509905358186,0.565958038635882,0.10501871193046952,-0.8894587781641723,-292.740158324616,-293.66898817661126,0.9288298519952605,292.740158324616,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
500,0.5,1.0,2.0,0.8045218177642522,0.8392946758112834,2.0025359040448385,0.03477285804703112,1.1632412282335551,0.30452181776425225,-0.16070532418871664,0.0025359040448384995,-758.00874575968,-758.2672404002766,0.2584946405966093,758.00874575968,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
