parameter,base_estimate,bootstrap_mean,bootstrap_sd,ci_lower_percentile,ci_upper_percentile,successful_bootstrap_replications
a,0.5748072668854638,0.5092180985835035,0.42444407286238306,9.999999999999997e-06,1.2661649664558823,1000
m,0.5953830128027162,0.9823481543589324,0.5165426157891836,0.1748610712261554,1.960759377352884,1000
b,2.4765301283406305,2.1586147145184325,0.7313018238551096,1.1025680711837018,3.6294466972195982,1000
