replication,success,a_hat,m_hat,b_hat,loglik
1,True,0.05310873591479667,1.8786805085958844,1.9086678852936478,-385.0910405202178
2,True,9.999999999999997e-06,0.8431878737591966,3.225735575201892,-390.78550889373366
3,True,0.8258591292884138,0.8347636574235532,2.2171394235055413,-386.5934394403363
4,True,0.0795734478587403,1.983515079236757,2.018352340325707,-392.7040604741975
5,True,0.017552542184535065,1.0209015603353446,3.408111957963505,-402.08106752576884
6,True,9.999999999999997e-06,0.40285183174976613,2.6773624421597675,-355.00623953180343
7,True,0.27767341631726855,0.2820417490211826,2.8950508304292253,-369.57183469321166
8,True,0.25422887945447487,1.287131424148544,2.510648848643595,-391.77248724293884
9,True,0.5507532893648167,0.5666296070982555,3.331008986225013,-402.69030718911245
10,True,0.053111307069262426,1.7334657634739936,1.805810659767954,-376.67142121431095
11,True,1.2124185940151815e-05,1.5809680959882138,1.678547459853098,-364.4481566108177
12,True,0.7378489952334955,0.7759783954869968,2.837909944664515,-400.8060661237731
13,True,0.24290473867553405,0.2451239156151373,2.7712848769712393,-362.21337057600226
14,True,0.6103925092579777,0.8934610174810604,2.676047319278843,-395.7858830917159
15,True,0.036520800093325125,0.49330268001150474,3.4583916279109683,-387.04254204267323
16,True,9.999999999999997e-06,1.0426527320467482,2.2870979988816442,-366.5854834680608
17,True,1.293626561058587,1.323848855367568,1.3544563926818718,-389.95265566199555
18,True,1.047622622885845,1.1008716118277404,1.1688992007181347,-367.2946118160079
19,True,1.2319783236693076,1.2778048523497416,1.307782785119986,-384.85791404519955
20,True,0.48037278657082083,1.1967499721817014,1.2166654066442808,-350.2561942628961
21,True,1.362210011753397,1.4177486782843063,1.4578753577416081,-397.91599104969146
22,True,1.1561109076400427,1.1875895112142327,1.227147816091462,-376.5217720508159
23,True,0.6382910790742937,0.649958853245422,1.901070130131381,-362.1148537724704
24,True,1.099644730915641,1.2332298002892694,1.3163905179303164,-379.2068959973333
25,True,1.0169142988479432,1.0887970656634465,1.1185340368104109,-363.76899786215307
26,True,1.1085107201276097,1.1468711409229813,1.1666468980620779,-371.12338187611147
27,True,1.1632744820319545,1.2028019572760735,1.2263112943143804,-377.0453964009858
28,True,0.6428457369387045,0.6522803506434801,2.4750189674239786,-382.7014455709631
29,True,0.04445585695032212,1.5025739946379024,1.5807403880431852,-359.34019275799085
30,True,0.5996268241766383,0.6140023330057817,2.520122446357307,-381.37311164782045
31,True,9.999999999999997e-06,0.5806695007772781,2.9463495920094864,-372.4390758203077
32,True,0.33788544095769235,0.3441030222394268,3.086589247844865,-380.9756506586131
33,True,8.852381527805769e-05,1.571567767349531,1.5952375900198799,-360.8189762577037
34,True,0.22671662415470303,1.0593842722411908,2.5095903383487617,-383.4078806147293
35,True,0.16458072317246622,1.4629657684868798,1.4765934859928658,-358.72040771111506
36,True,0.0820780377473938,0.08375877529970963,3.9758179513607326,-388.690393862534
37,True,0.09478223107913748,0.09682433947545091,3.5463597195749395,-377.28515701786506
38,True,0.36416602425600725,0.3784189030753653,2.886019380123754,-376.85830096981533
39,True,0.45237172741020965,0.45689198906714257,2.7683230054748553,-378.49692289937644
